Tienda,cluster,latitude,longitude,Nombre Tienda,Region
20000000,0,3.4943526,-76.4869362,panaderia peña de horeb,region cali
20000002,4,3.4931904,-76.48719,tienda mixta,region cali
20000005,1,3.4942447,-76.48524420000003,miscelanea joy,region cali
20000006,0,3.4769554,-76.48011679999998,distriuner,region cali
20000007,8,3.4931904,-76.48719,tienda mixta,region cali
20000008,2,3.4934445,-76.48722240000002,tienda mixta medellin,region cali
20000010,0,3.4934445,-76.48722240000002,tienda mi oma,region cali
20000011,0,3.4931904,-76.48719,salsamentaria quiceno,region cali
20000013,5,3.4961789,-76.4924218,tienda mixta luz marina,region cali
20000014,4,3.4969707000000003,-76.4908458,tienda bella floralia,region cali
20000015,2,3.4967445,-76.49346419999998,tienda roger,region cali
20000017,4,3.4970260000000004,-76.4945748,granero los paisas,region cali
20000018,2,3.4974125,-76.4917191,tienda mixta,region cali
20000019,5,3.4981980000000004,-76.4913766,variedades jj,region cali
20000020,4,3.4952122,-76.4905304,tienda sucker,region cali
20000022,0,3.4954057,-76.4927876,tienda jumi,region cali
20000023,5,3.4961671,-76.48989990000003,tienda mavisa,region cali
20000024,5,3.494688,-76.4920348,tienda la 73,region cali
20000028,5,3.4990344,-76.49462559999998,tienda el retorno,region cali
20000029,5,3.4992614,-76.4933231,salsamentaria jose,region cali
20000036,0,3.4994975,-76.4931854,merca dany,region cali
20000037,4,3.4974125,-76.4917191,oyima,region cali
20000038,2,3.4959814,-76.4938848,tienda mixta ss,region cali
20000039,7,3.494558,-76.4972059,tienda aleja,region cali
20000040,6,3.4925961,-76.4943037,gersebas,region cali
20000042,0,3.496386,-76.49219699999998,la casa en el arbol,region cali
20000043,0,3.4924515,-76.4896725,rapitienda yuri andrea,region cali
20000044,2,3.4916186,-76.4936568,nicoll kike,region cali
20000046,0,3.4962708,-76.4950011,tienda mixta,region cali
20000047,7,3.4960134,-76.495165,tienda angelo,region cali
20000048,4,3.4961789,-76.4924218,tienda la 77,region cali
20000049,8,3.4921219,-76.49339040000002,tienda aaa,region cali
20000050,0,3.4938011,-76.496527,rapitienda el porvenir,region cali
