Tienda,cluster
20000000,0
20000002,4
20000005,1
20000006,0
20000007,8
20000008,2
20000010,0
20000011,0
20000013,5
20000014,4
20000015,2
20000017,4
20000018,2
20000019,5
20000020,4
20000022,0
20000023,5
20000024,5
20000028,5
20000029,5
20000036,0
20000037,4
20000038,2
20000039,7
20000040,6
20000042,0
20000043,0
20000044,2
20000046,0
20000047,7
20000048,4
20000049,8
20000050,0
20000051,0
20000053,0
20000054,0
20000056,5
20000057,0
20000058,1
20000059,8
20000060,2
20000061,8
20000064,2
20000065,4
20000066,0
20000067,1
20000072,0
20000075,5
20000076,0
20000078,0
20000083,0
20000084,8
20000085,0
20000086,3
20000087,3
20000088,2
20000089,8
20000100,3
20000104,5
20000105,7
20000106,0
20000111,3
20000112,5
20000113,0
20000114,7
20000117,0
20000119,7
20000120,4
20000121,0
20000122,0
20000123,0
20000124,7
20000127,7
20000128,5
20000129,4
20000130,2
20000132,0
20000133,0
20000135,2
20000136,8
20000137,8
20000138,7
20000139,0
20000147,7
20000150,7
20000151,0
20000152,0
20000153,3
20000154,4
20000156,0
20000157,2
20000161,7
20000163,3
20000165,2
20000167,7
20000168,0
20000170,0
20000171,7
20000174,7
20000175,5
20000176,0
20000181,7
20000183,2
20000185,2
20000187,1
20000188,2
20000190,2
20000194,1
20000197,0
20000206,3
20000207,5
20000208,0
20000210,7
20000211,1
20000212,4
20000213,0
20000214,0
20000215,3
20000218,7
20000222,4
20000223,7
20000224,8
20000225,0
20000226,5
20000227,2
20000234,3
20000236,0
20000237,1
20000238,3
20000240,7
20000242,3
20000243,3
20000244,7
20000245,7
20000247,2
20000248,4
20000251,0
20000252,7
20000253,7
20000255,0
20000258,2
20000259,0
20000260,4
20000261,7
20000262,7
20000264,0
20000265,1
20000267,2
20000270,0
20000275,2
20000276,7
20000279,7
20000280,2
20000286,2
20000287,2
20000288,4
20000289,8
20000296,0
20000297,2
20000299,2
20000302,2
20000303,0
20000304,2
20000305,0
20000306,5
20000309,5
20000311,0
20000312,7
20000320,0
20000323,7
20000324,1
20000325,0
20000326,7
20000329,2
20000330,2
20000331,4
20000332,2
20000333,7
20000335,2
20000336,0
20000337,2
20000338,5
20000341,1
20000344,7
20000348,7
20000349,2
20000350,7
20000352,0
20000353,0
20000354,7
20000356,4
20000358,0
20000359,2
20000360,2
20000362,3
20000363,0
20000364,7
20000365,0
20000367,3
20000368,3
20000369,0
20000372,7
20000374,7
20000375,0
20000379,1
20000381,0
20000390,2
20000391,4
20000393,7
20000394,7
20000395,1
20000398,0
20000399,3
20000400,2
20000401,0
20000402,3
20000403,8
20000405,7
20000407,5
20000408,0
20000410,3
20000412,0
20000415,3
20000416,2
20000419,3
20000420,0
20000423,6
20000430,0
20000431,5
20000432,0
20000435,0
20000436,0
20000437,3
20000438,0
20000439,2
20000442,0
20000445,7
20000448,0
20000449,2
20000451,8
20000452,1
20000453,2
20000454,5
20000455,0
20000456,8
20000457,0
20000459,0
20000465,2
20000466,4
20000468,0
20000469,7
20000474,0
20000477,0
20000478,7
20000479,7
20000480,1
20000481,0
20000482,0
20000483,0
20000485,7
20000487,0
20000489,7
20000490,0
20000492,7
20000493,7
20000494,3
20000497,0
20000498,0
20000501,0
20000502,7
20000503,0
20000505,3
20000507,0
20000509,4
20000511,0
20000512,3
20000514,0
20000515,0
20000517,3
20000520,0
20000521,1
20000522,0
20000525,6
20000526,0
20000527,2
20000528,2
20000529,0
20000530,0
20000533,0
20000534,5
20000535,2
20000537,7
20000538,0
20000540,0
20000541,2
20000543,2
